web-scraper-order,web-scraper-start-url,店铺名称,详情页,详情页-href,店铺评分,人均消费,点评数,店铺地址,店铺电话,营业时间,配套服务,店铺菜系,点评标签,推荐菜1,推荐菜2,推荐菜3
"1590851519-826","https://gz.meituan.com/meishi/pn10/","新客家（岭南新世界店）","新客家（岭南新世界店）4分504条评论白云区白云大道北集贤路280号岭南新世界百世商业广场二楼（集贤苑路口   永泰客运站）人均￥51","https://www.meituan.com/meishi/636757/","4分","51","504","地址：白云区白云大道北集贤路280号岭南新世界百世商业广场二楼（集贤苑路口   永泰客运站）","020-36279323/36279282","营业时间：周一至周日 11:00-22:00","提供wifi停车位","广州台湾/客家菜","味道赞(118)服务热情(56)性价比高(37)上菜快(36)回头客(35)菜品精致(16)肉类好(13)不用排队(7)分量少(11)停车不便(4)","客家煎酿豆腐","三杯鸭","农家土猪汤"
"1590843530-13","https://gz.meituan.com/meishi/pn67/","温泉饭店老字号竹筒饭客家烧鸡","温泉饭店老字号竹筒饭客家烧鸡5分518条评论增城市派潭镇高滩村林田坳新村路6号人均￥39","https://www.meituan.com/meishi/4016451/","5分","39","518","地址：增城市派潭镇高滩村林田坳新村路6号","020-82826616/15813342926","营业时间：周一至周日 10:30-21:00","提供wifi停车位","广州台湾/客家菜","味道赞(138)服务热情(99)性价比高(91)分量足(89)价格实惠(79)上菜快(78)肉类好(55)菜品精致(55)主食赞(37)到店自提(6)","竹筒肉丸","山坑螺煲鸡","客家让豆腐"
"1590845363-174","https://gz.meituan.com/meishi/pn56/","西贝莜面村（正佳店）","西贝莜面村（正佳店）4.4分2199条评论天河区天河路228号601房（自编号六楼6C057b号）人均￥67","https://www.meituan.com/meishi/4602686/","4.4分","67","2199","地址：天河区天河路228号601房（自编号六楼6C057b号）","15915932014/4008207320","营业时间：周一至周日 10:30-21:30","null","广州西北菜","上菜快(173)回头客(79)饮品赞(66)不用排队(5)到店自提(6)文艺清新(6)朋友聚餐(6)性价比低(325)分量少(117)主食差(7)","烤羊肉串","蒙古酸奶","西贝面筋"
"1590852115-889","https://gz.meituan.com/meishi/pn6/","多美蛋糕店","多美蛋糕店4.2分1976条评论黄埔区丰乐南路裕丰围兴隆街8号（怡港花园旁）人均￥79","https://www.meituan.com/meishi/3262197/","4.2分","79","1976","地址：黄埔区丰乐南路裕丰围兴隆街8号（怡港花园旁）","020-22098948/13808824841","营业时间：周一至周日 10:00-22:00","提供wifi","广州生日蛋糕","服务热情(564)点心好(410)味道赞(386)性价比高(233)菜品精致(145)分量足(81)回头客(70)上菜快(34)高大上(6)到店自提(2)","水果森林","F款朱古力蛋糕","双层黑森林"
"1590847137-365","https://gz.meituan.com/meishi/pn43/","威得堡蛋糕坊（东圃店）","威得堡蛋糕坊（东圃店）3.8分1919条评论天河区东圃一横路东华居（东圃大马路）人均￥9","https://www.meituan.com/meishi/5361259/","null","null","null","null","null","null","null","null","null","null","null","null"
"1590846930-337","https://gz.meituan.com/meishi/pn45/","鮮芋仙（时尚天河店）","鮮芋仙（时尚天河店）3.7分2866条评论天河区天河路299号时尚天河商业广场中二街090人均￥22","https://www.meituan.com/meishi/4929170/","null","null","null","null","null","null","null","null","null","null","null","null"
"1590845928-233","https://gz.meituan.com/meishi/pn52/","港城人家（前进路店）","港城人家（前进路店）3.7分1278条评论海珠区前进路65号一层101自编A001（海珠状元坊旁）人均￥58","https://www.meituan.com/meishi/6587386/","3.7分","58","1278","地址：海珠区前进路65号一层101自编A001（海珠状元坊旁）","020-89574538","营业时间：周一至周日 07:00-14:30 17:00-21:30","提供wifi停车位","广州粤港菜","味道赞(227)回头客(51)交通便利(20)肉类好(11)不用排队(5)高大上(3)到店自提(7)下午茶(6)分量少(66)上菜慢(34)","烂锅炒粉","孜然手抓骨","鲍汁扣养生黑豆腐"
"1590848103-467","https://gz.meituan.com/meishi/pn36/","新好景海鲜酒家","新好景海鲜酒家4分2314条评论增城市新塘镇新塘工业加工区中区广深公路新塘大道西2号新好景大酒店人均￥39","https://www.meituan.com/meishi/619560/","4分","39","2314","地址：增城市新塘镇新塘工业加工区中区广深公路新塘大道西2号新好景大酒店","020-82704888/82704222","营业时间：周一至周日 07:30-14:30 17:00-21:00","提供wifi停车位","广州江河湖海鲜","上菜快(153)回头客(76)停车方便(57)不用排队(19)到店自提(33)请客(14)下午茶(7)公司聚餐(6)家庭聚餐(4)店内消毒(1)","早茶","卤凤爪","柱候酱蒸金钱肚"
"1590847696-425","https://gz.meituan.com/meishi/pn39/","绿茵扒房（淘金店）","绿茵扒房（淘金店）3.7分2300条评论越秀区环市东路369号友谊商店自编2号楼B1楼108号（近淘金路）人均￥66","https://www.meituan.com/meishi/30218/","3.7分","66","2300","地址：越秀区环市东路369号友谊商店自编2号楼B1楼108号（近淘金路）","020-83590027","营业时间：周一至周日 11:00-21:00","提供wifi","广州西餐","上菜快(168)回头客(105)不用排队(28)海鲜棒(14)工作餐(15)下午茶(11)朋友聚餐(10)闺蜜聚会(7)家庭聚餐(6)到店自提(3)","泰皇炒饭","水果沙律","西冷扒"
"1590850712-742","https://gz.meituan.com/meishi/pn17/","蒙乡烤全羊（京溪同和店）","蒙乡烤全羊（京溪同和店）4.3分2133条评论白云区白云区广州大道北1911号（同和蟹山社区天桥下，近广州大道北）人均￥59","https://www.meituan.com/meishi/5941280/","4.3分","59","2133","地址：白云区白云区广州大道北1911号（同和蟹山社区天桥下，近广州大道北）","13128277294/13048055556","营业时间：周一至周日 16:00-02:00","提供wifi停车位","广州烧烤烤串","上菜快(132)回头客(101)不用排队(14)海鲜棒(4)到店自提(59)朋友聚餐(13)公司聚餐(5)闺蜜聚会(4)家庭聚餐(3)店内消毒(1)","烤羊排","烤羊腿","烤全羊"
"1590847048-353","https://gz.meituan.com/meishi/pn44/","法爵聖玛利（工业大道店）","法爵聖玛利（工业大道店）3.7分1498条评论海珠区工业大道北97号之一铺（近宝业路口）人均￥9","https://www.meituan.com/meishi/628087/","null","null","null","null","null","null","null","null","null","null","null","null"
"1590847619-417","https://gz.meituan.com/meishi/pn40/","大好和膳日本料理","大好和膳日本料理4.2分1525条评论黄埔区揽月路1号华夏国际商务酒店1楼人均￥80","https://www.meituan.com/meishi/1718031/","4.2分","80","1525","地址：黄埔区揽月路1号华夏国际商务酒店1楼","020-62215626/13416221677","营业时间：周一至周日 10:00-14:00 17:00-22:30","提供wifi停车位","广州小吃快餐","菜品精致(69)上菜快(58)回头客(54)肉类好(33)停车方便(13)不用排队(6)主食赞(3)工作餐(7)到店自提(6)海鲜差(4)","牛肉拉面定食","三文鱼炒饭定食","鳗鱼炒饭"
"1590844269-91","https://gz.meituan.com/meishi/pn61/","网红高尔夫烧烤野炊乐园","网红高尔夫烧烤野炊乐园4.1分216条评论黄埔区长洲下庄村（长洲码头总站）人均￥53","https://www.meituan.com/meishi/656721/","4.1分","53","216","地址：黄埔区长洲下庄村（长洲码头总站）","020-29079820/13533838542","营业时间：周一至周日 10:00-23:30","提供wifi停车位","广州烧烤烤串","服务热情(72)环境很好(32)性价比高(27)干净整洁(22)价格实惠(21)回头客(20)菜品健康(14)肉类好(14)分量足(14)味道赞(11)","海鲜烧烤自助餐","比亦双飞","茄子"
"1590849605-625","https://gz.meituan.com/meishi/pn25/","创春园养生汤茶（石楼旗舰店）","创春园养生汤茶（石楼旗舰店）暂无评分番禺区石楼镇建发广场东环路23号人均￥20","https://www.meituan.com/meishi/1629023461/","null","20","null","地址：番禺区石楼镇建发广场东环路23号","13580312062","营业时间：周一至周日 11:00-20:00","null","广州饮品店","null","千惠草汤茶","火麻仁菊花汤茶","养生汤茶"
"1590843484-8","https://gz.meituan.com/meishi/pn67/","港饮講食茶餐厅","港饮講食茶餐厅5分666条评论增城市荔园路44号（工商总行对面）人均￥30","https://www.meituan.com/meishi/67581056/","5分","30","666","地址：增城市荔园路44号（工商总行对面）","020-82649948/13537823622","营业时间：周一至周日 09:00-21:00","提供wifi","广州粤港菜","味道赞(85)性价比高(80)价格实惠(75)饮品赞(54)菜品精致(44)分量足(44)回头客(39)上菜快(36)主食赞(14)到店自提(2)","冻奶茶","一哥猪扒焗饭十柠檬茶","厚丈多士三文治"
"1590852251-903","https://gz.meituan.com/meishi/pn5/","佳麦直营饼店（岗顶店）","佳麦直营饼店（岗顶店）3.4分4663条评论天河区天河路岗顶地铁D出口旁石牌牌坊内西河大街六号（近中山三院）人均￥49","https://www.meituan.com/meishi/1531364/","3.4分","49","4663","地址：天河区天河路岗顶地铁D出口旁石牌牌坊内西河大街六号（近中山三院）","020-31603424/13544380864","营业时间：周一至周日 06:00-23:30","null","广州生日蛋糕","点心好(540)菜品精致(237)分量足(111)回头客(88)上菜快(34)交通便利(23)高大上(19)到店自提(37)弄堂小店(5)现做现卖(3)","栗子蛋糕","蓝莓蛋糕","芝士蛋糕"
"1590846070-248","https://gz.meituan.com/meishi/pn51/","丘大6仔记餐厅","丘大6仔记餐厅5分1164条评论海珠区滨江东路523号（宜利苑旁）人均￥47","https://www.meituan.com/meishi/51483376/","5分","47","1164","地址：海珠区滨江东路523号（宜利苑旁）","020-34320604","营业时间：周一至周日 08:00-15:00 17:00-22:00","提供wifi停车位","广州粤港菜","点心好(91)回头客(64)上菜快(54)海鲜棒(12)不用排队(5)停车免费(3)下午茶(11)到店自提(7)店内消毒(2)交通不便(5)","手打羊肉烧卖","丹麦叉烧包","羊城鲜虾饺"
"1590849660-631","https://gz.meituan.com/meishi/pn25/","美味烘焙坊（新塘店）","美味烘焙坊（新塘店）4.2分14条评论增城市新塘镇新沙路30号锦绣天伦花园自编1#新绣一路1号人均￥60","https://www.meituan.com/meishi/1796073435/","4.2分","60","14","地址：增城市新塘镇新沙路30号锦绣天伦花园自编1#新绣一路1号","18028863472","营业时间：周一至周日 全天","null","广州生日蛋糕","味道赞(3)","暴富蛋糕Z款","爆款女王蛋糕H款","网红火烈鸟D款"
"1590845713-211","https://gz.meituan.com/meishi/pn53/","大椰丰饭（中华广场店）","大椰丰饭（中华广场店）3.4分3120条评论越秀区中山三路33号中华广场6层人均￥92","https://www.meituan.com/meishi/639129/","3.4分","92","3120","地址：越秀区中山三路33号中华广场6层","020-83738588/83738488","营业时间：周六,周日 10:30-22:30  周一至周五 10:30-14:30 16:30-21:30","提供wifi停车位","广州其他美食","回头客(24)不用排队(9)主食赞(8)高大上(5)请客(5)下午茶(3)到店自提(2)上菜慢(66)分量少(52)点心差(8)","白切文昌鸡","海南四角豆炒眼睛螺","红扣东山羊"
"1590845563-195","https://gz.meituan.com/meishi/pn54/","探炉（5号停机坪店）","探炉（5号停机坪店）4.2分14028条评论白云区云霄路353号G5停机坪购物广场一楼美食广场L1027A（肯德基旁）人均￥51","https://www.meituan.com/meishi/1485601/","4.2分","51","14028","地址：白云区云霄路353号G5停机坪购物广场一楼美食广场L1027A（肯德基旁）","020-32584132","营业时间：周一至周日 11:00-22:00","提供wifi停车位","广州香锅烤鱼","回头客(608)不用排队(111)停车方便(26)朋友聚餐(51)到店自提(27)家庭聚餐(9)闺蜜聚会(7)店内消毒(6)请客(6)上菜慢(506)","鲜椒味竹炭烤清江鱼","配菜","鱼香味竹炭烤清江鱼"
"1590850155-683","https://gz.meituan.com/meishi/pn21/","卡丽皇家金煦酒店自助餐","卡丽皇家金煦酒店自助餐4.1分410条评论白云区广园中路388号卡丽皇家金煦酒店内（近广园客运站）人均￥185","https://www.meituan.com/meishi/646289/","4.1分","185","410","地址：白云区广园中路388号卡丽皇家金煦酒店内（近广园客运站）","020-37321622","营业时间：周一至周日 07:00-23:00","提供wifi停车位","广州自助餐","服务热情(95)环境很好(84)味道赞(33)干净整洁(32)点心好(19)高大上(12)回头客(8)不用排队(6)菜品少(25)上菜慢(4)","三文鱼","生蚝","芝士蛋糕"
"1590848074-464","https://gz.meituan.com/meishi/pn36/","广州塔璇玑地中海自助旋转餐厅","广州塔璇玑地中海自助旋转餐厅3.4分2468条评论海珠区阅江西路222号广州塔106楼（近三号线地铁广州塔站）人均￥394","https://www.meituan.com/meishi/655703/","3.4分","394","2468","地址：海珠区阅江西路222号广州塔106楼（近三号线地铁广州塔站）","020-89338218/18922312162","营业时间：周一至周日 11:30-14:30 17:30-22:00","提供wifi停车位","广州自助餐","夜景赞(62)不用排队(10)停车免费(4)朋友聚餐(4)家庭聚餐(4)公司聚餐(4)请客(4)到店自提(3)海鲜差(42)上菜慢(9)","三文鱼","大虾","生蚝"
"1590852340-912","https://gz.meituan.com/meishi/pn4/","广州酒家（体育东路店）","广州酒家（体育东路店）3.7分6973条评论天河区体育东路112号百福广场3-4层人均￥96","https://www.meituan.com/meishi/6810240/","3.7分","96","6973","地址：天河区体育东路112号百福广场3-4层","020-38809138/38809228","营业时间：周一至周日 08:00-14:00 17:30-21:00","提供wifi停车位","广州粤港菜","回头客(170)不用排队(39)海鲜棒(36)下午茶(89)到店自提(46)朋友聚餐(15)请客(12)家庭聚餐(4)深夜食堂(3)上菜慢(339)","金鼎鲜味虾饺皇","酱皇豉香蒸凤爪","红肠粉"
"1590847650-420","https://gz.meituan.com/meishi/pn39/","珊姐家烧烤吧（石牌店）","珊姐家烧烤吧（石牌店）3.8分3041条评论天河区石牌东路2号204、205房人均￥57","https://www.meituan.com/meishi/60085102/","3.8分","57","3041","地址：天河区石牌东路2号204、205房","020-87565188","营业时间：周一至周日 17:00-03:00","null","广州烧烤烤串","上菜快(87)回头客(48)菜品精致(35)不用排队(17)海鲜棒(6)朋友聚餐(15)深夜食堂(9)文艺清新(5)到店自提(4)闺蜜聚会(4)","烤茄子","鸡中翅","羊肉串"
"1590845878-228","https://gz.meituan.com/meishi/pn52/","洞庭土菜馆（百信广场东区店）","洞庭土菜馆（百信广场东区店）3.6分2975条评论白云区机场路1399号百信广场东区L1-195（2-4层）人均￥52","https://www.meituan.com/meishi/1133709/","3.6分","52","2975","地址：白云区机场路1399号百信广场东区L1-195（2-4层）","020-36633666","营业时间：周一至周日 11:00-14:00 17:00-21:30","提供wifi停车位","广州川湘菜","上菜快(238)回头客(135)肉类好(63)不用排队(22)海鲜棒(12)到店自提(22)朋友聚餐(14)家庭聚餐(11)请客(4)分量少(176)","剁椒鱼头","干锅手撕包菜","酸菜鱼"
"1590852271-905","https://gz.meituan.com/meishi/pn5/","老牌湛江烧烤（同德围店）","老牌湛江烧烤（同德围店）3.5分3条评论白云区同康路西槎路129号人均￥38","https://www.meituan.com/meishi/177747812/","3.5分","38","3","地址：白云区同康路西槎路129号","13824825396","营业时间：周一至周日 17:00-04:00","null","广州烧烤烤串","菜品不错(3)","鸡翅","韭菜","凉拌青瓜"
"1590851574-832","https://gz.meituan.com/meishi/pn10/","品蜀国·精品川菜（科学城店）","品蜀国·精品川菜（科学城店）3.9分3309条评论黄埔区科学城科学大道193号高德汇购物中心3楼人均￥58","https://www.meituan.com/meishi/1718112/","3.9分","58","3309","地址：黄埔区科学城科学大道193号高德汇购物中心3楼","020-66677605","营业时间：周一至周日 10:00-14:30 17:00-21:30","提供wifi停车位","广州川湘菜","回头客(184)上菜快(111)牛肉赞(46)不用排队(19)海鲜棒(13)停车方便(7)冬天吃过瘾(3)朋友聚餐(12)到店自提(9)家庭聚餐(4)","酸菜鱼","酸汤肥牛","清一色毛血旺"
"1590846952-340","https://gz.meituan.com/meishi/pn45/","贡茶（嘉禾望岗店）","贡茶（嘉禾望岗店）4.2分1830条评论白云区华英路润林大厦1楼100-102铺（地铁B出口正对面）人均￥16","https://www.meituan.com/meishi/52614102/","null","null","null","null","null","null","null","null","null","null","null","null"
"1590850305-699","https://gz.meituan.com/meishi/pn20/","甜蜜家园蛋糕店（文冲店）","甜蜜家园蛋糕店（文冲店）3.5分41条评论黄埔区石化路195号人均￥60","https://www.meituan.com/meishi/193812150/","3.5分","60","41","地址：黄埔区石化路195号","020-31702209/14749359813","营业时间：周一至周日 全天","null","广州生日蛋糕","点心好(10)服务热情(7)价格实惠(6)味道赞(5)性价比高(5)菜品精致(3)","爆款黑森林水果生日蛋糕","国色天香","一生一世"
"1590851068-779","https://gz.meituan.com/meishi/pn14/","三顾冒菜（广新路店）","三顾冒菜（广新路店）4.2分1229条评论黄埔区广新路798号（文冲商业楼一楼梅兴客家菜、水陆田鸡旁边）人均￥29","https://www.meituan.com/meishi/40010513/","4.2分","29","1229","地址：黄埔区广新路798号（文冲商业楼一楼梅兴客家菜、水陆田鸡旁边）","020-29807191","营业时间：周一至周日 10:00-21:00","停车位","广州小吃快餐","回头客(91)上菜快(57)饮品赞(12)不用排队(10)主食赞(5)停车方便(4)肉类好(4)交通便利(4)到店自提(9)朋友聚餐(9)","冒菜全家福","卤大肠","猪脑"
"1590845066-142","https://gz.meituan.com/meishi/pn58/","云之味云南过桥米线","云之味云南过桥米线3.8分583条评论增城市文化路10号人均￥17","https://www.meituan.com/meishi/1719899/","3.8分","17","583","地址：增城市文化路10号","13928900066","营业时间：周一至周日 08:30-22:00","提供wifi停车位","广州小吃快餐","味道赞(81)上菜快(47)分量足(41)菜品精致(32)回头客(23)主食赞(16)不用排队(9)牛肉赞(4)交通便利(4)点心差(3)","香汁鸡腿肉过桥米线","云南过桥米线","桂林米粉"
"1590846367-279","https://gz.meituan.com/meishi/pn49/","西湘里辣（钟村店）","西湘里辣（钟村店）4.9分1709条评论番禺区钟村市场对面（7天连锁酒店旁）人均￥46","https://www.meituan.com/meishi/2578617/","4.9分","46","1709","地址：番禺区钟村市场对面（7天连锁酒店旁）","020-39146968","营业时间：周一至周日 09:00-21:30","提供wifi","广州川湘菜","上菜快(116)回头客(69)肉类好(36)停车方便(12)海鲜棒(8)不用排队(5)到店自提(4)朋友聚餐(3)请客(3)分量少(43)","小炒肉","剁椒鱼头","石锅脘鱼"
"1590846895-332","https://gz.meituan.com/meishi/pn45/","滋心DIY蛋糕店","滋心DIY蛋糕店4.5分579条评论海珠区聚德花苑西区北门旁（交通银行斜对面，近客村地铁1000米，近大塘路口公交站50米）人均￥60","https://www.meituan.com/meishi/4164973/","null","null","null","null","null","null","null","null","null","null","null","null"
"1590847715-427","https://gz.meituan.com/meishi/pn39/","好运来大排档（江夏店）","好运来大排档（江夏店）4.5分703条评论白云区江夏东一路A座（江夏小学旁）人均￥33","https://www.meituan.com/meishi/41279777/","4.5分","33","703","地址：白云区江夏东一路A座（江夏小学旁）","15013200667","营业时间：周一至周日 17:00-24:00","提供wifi停车位","广州小吃快餐","味道赞(125)菜品精致(65)回头客(59)分量足(58)上菜快(37)肉类好(20)不用排队(4)深夜食堂(9)朋友聚餐(6)到店自提(5)","烤鱼清江鱼","茄子","小生蚝"
"1590851982-875","https://gz.meituan.com/meishi/pn7/","茂湛食府·湛江鸡","茂湛食府·湛江鸡4.5分879条评论番禺区钟村街道市广路钟三村委喆啡酒店旁人均￥42","https://www.meituan.com/meishi/6266307/","4.5分","42","879","地址：番禺区钟村街道市广路钟三村委喆啡酒店旁","020-39262303","营业时间：周一至周日 10:30-14:00 16:30-21:00","提供wifi停车位","广州粤港菜","味道赞(221)菜品精致(123)分量足(84)回头客(67)上菜快(45)肉类好(41)海鲜棒(6)停车方便(5)不用排队(4)到店自提(9)","叉烧包","家乡捞起河粉","上汤杂菜"
"1590849169-579","https://gz.meituan.com/meishi/pn28/","湖塘月色客家菜（东汇城店）","湖塘月色客家菜（东汇城店）4.9分3152条评论增城市荔城街东汇城4楼（万岁寿司店旁）人均￥49","https://www.meituan.com/meishi/2534469/","4.9分","49","3152","地址：增城市荔城街东汇城4楼（万岁寿司店旁）","020-26250388","营业时间：周一至周日 11:00-22:00","提供wifi停车位","广州台湾/客家菜","上菜快(256)回头客(136)肉类好(56)不用排队(24)海鲜棒(9)停车方便(3)朋友聚餐(5)到店自提(3)店内消毒(1)分量少(268)","手撕包菜","蒜香手抓骨","咸鱼茄子煲"
"1590850703-741","https://gz.meituan.com/meishi/pn17/","金山猪肚鸡","金山猪肚鸡4.3分432条评论白云区河东一街18号人均￥38","https://www.meituan.com/meishi/41052585/","4.3分","38","432","地址：白云区河东一街18号","020-62835129/15218800938","营业时间：周一至周日 10:00-14:30 17:00-21:30","提供wifi停车位","广州火锅","味道赞(99)上菜快(38)分量足(38)菜品精致(31)回头客(30)肉类好(10)不用排队(5)朋友聚餐(3)家庭聚餐(3)到店自提(1)","胡椒猪肚鸡","炸支竹","猪肉丸"
"1590848805-541","https://gz.meituan.com/meishi/pn31/","西尊比萨（白云店）","西尊比萨（白云店）4.5分1368条评论白云区江高镇夏花三路314号首层东面9号铺（建行旁）人均￥36","https://www.meituan.com/meishi/86023442/","4.5分","36","1368","地址：白云区江高镇夏花三路314号首层东面9号铺（建行旁）","020-32547218/32547208","营业时间：周一至周日 10:00-22:30","提供wifi","广州西餐","上菜快(65)回头客(61)分量足(54)菜品精致(34)不用排队(14)肉类好(9)交通便利(8)到店自提(14)朋友聚餐(6)下午茶(3)","榴莲披萨","新奥尔良烤鸡肉比萨","田园时蔬比萨"
"1590846838-326","https://gz.meituan.com/meishi/pn46/","星泰度东南亚美食","星泰度东南亚美食4.3分2939条评论海珠区工业大道北104号乐峰广场L1（优衣库楼上）人均￥63","https://www.meituan.com/meishi/40376570/","4.3分","63","2939","地址：海珠区工业大道北104号乐峰广场L1（优衣库楼上）","020-34338820","营业时间：周六,周日 11:00-22:00  周一至周五 11:00-14:30 17:00-22:00","提供wifi停车位","广州东南亚菜","上菜快(94)交通便利(25)回头客(24)不用排队(19)肉类好(17)海鲜棒(12)主食赞(11)朋友聚餐(3)到店自提(2)分量少(79)","冬阴功海鲜泡饭","马拉盏炒通菜","咖喱牛腩"
"1590850823-753","https://gz.meituan.com/meishi/pn16/","明泉居茶点荟","明泉居茶点荟5分3308条评论天河区中山大道中182号东景花园商铺2楼202号人均￥48","https://www.meituan.com/meishi/42699827/","5分","48","3308","地址：天河区中山大道中182号东景花园商铺2楼202号","020-82529930","营业时间：周一至周日 08:00-14:00 17:00-21:00","提供wifi停车位","广州粤港菜","上菜快(444)回头客(334)不用排队(25)海鲜棒(13)停车方便(11)下午茶(57)朋友聚餐(17)到店自提(9)店内消毒(5)家庭聚餐(5)","虾饺","五福临门","金沙红米肠"
"1590848568-516","https://gz.meituan.com/meishi/pn33/","斐丽轩烘焙坊（嘉逸华庭店）","斐丽轩烘焙坊（嘉逸华庭店）4.8分164条评论花都区新街大道67号30铺嘉逸华庭侧门、翠花绿茵苑正门对面人均￥15","https://www.meituan.com/meishi/41019953/","4.8分","15","164","地址：花都区新街大道67号30铺嘉逸华庭侧门、翠花绿茵苑正门对面","18924329208/13535677839","营业时间：周一至周日 06:00-23:30","提供wifi","广州生日蛋糕","味道赞(20)点心好(19)服务热情(18)性价比高(12)干净整洁(9)价格实惠(8)回头客(6)带娃吃饭(6)菜品卖相不佳(4)到店自提(1)","巧克力方之恋","咸方包","榴莲千层"
"1590845176-154","https://gz.meituan.com/meishi/pn57/","多美丽（罗冲围分店）","多美丽（罗冲围分店）4分865条评论白云区松洲增槎路18号西华园大厦二楼人均￥16","https://www.meituan.com/meishi/50105370/","4分","16","865","地址：白云区松洲增槎路18号西华园大厦二楼","020-81992731/020-81992809","营业时间：周一至周日 11:00-19:00","提供wifi","广州小吃快餐","味道赞(106)回头客(43)分量足(34)上菜快(30)菜品精致(19)肉类好(8)交通便利(6)不用排队(3)主食赞(3)到店自提(6)","多美丽招牌童子鸡","薯条","多美丽炸鸡系列"
"1590851661-841","https://gz.meituan.com/meishi/pn9/","畅扬老鸭粉丝汤（时尚天河商业广场店）","畅扬老鸭粉丝汤（时尚天河商业广场店）3.6分8038条评论天河区天河路时尚天河西区美食美刻XC003号铺人均￥16","https://www.meituan.com/meishi/2468872/","3.6分","16","8038","地址：天河区天河路时尚天河西区美食美刻XC003号铺","020-38269337","营业时间：周一至周日 09:30-21:30","提供wifi","广州小吃快餐","上菜快(480)回头客(477)菜品精致(288)肉类好(133)不用排队(60)到店自提(43)朋友聚餐(30)闺蜜聚会(9)工作餐(9)现做现卖(5)","老鸭粉丝汤","生煎包","鸭血粉"
"1590850097-677","https://gz.meituan.com/meishi/pn22/","美奇饼店","美奇饼店3.8分1505条评论从化市新平路与花园东路交叉口（润华商场旁）人均￥10","https://www.meituan.com/meishi/6725782/","3.8分","10","1505","地址：从化市新平路与花园东路交叉口（润华商场旁）","020-87815960","营业时间：周一至周日 06:30-22:00","提供wifi","从化生日蛋糕","性价比高(269)味道赞(166)价格实惠(158)点心好(128)回头客(80)分量足(27)上菜快(14)不用排队(11)交通便利(3)到店自提(2)","招牌蛋挞","榴莲千层蛋糕","红豆包"
"1590849452-609","https://gz.meituan.com/meishi/pn26/","名门咖啡厅","名门咖啡厅3.7分561条评论花都区天贵路108号庸逸豪廷6栋58号铺人均￥69","https://www.meituan.com/meishi/1719324/","3.7分","69","561","地址：花都区天贵路108号庸逸豪廷6栋58号铺","020-36998685","营业时间：周一至周日 10:00-22:00","提供wifi停车位","广州饮品店","菜品精致(49)分量足(36)上菜快(27)停车方便(25)回头客(20)牛肉赞(7)不用排队(5)交通便利(5)朋友聚餐(3)到店自提(1)","果木烤肥牛扒","顶级肉眼皇牛扒","安格斯西冷"
"1590850647-735","https://gz.meituan.com/meishi/pn17/","TRUE FEEL西餐厅","TRUE FEEL西餐厅3.9分1704条评论荔湾区花地大道北248号（近地铁花地湾站）人均￥56","https://www.meituan.com/meishi/619076/","3.9分","56","1704","地址：荔湾区花地大道北248号（近地铁花地湾站）","020-81559356","营业时间：周一至周日 11:00-00:30","提供wifi停车位","广州西餐","菜品精致(296)分量足(179)上菜快(106)回头客(79)交通便利(42)不用排队(15)牛肉赞(9)到店自提(15)朋友聚餐(8)闺蜜聚会(5)","香煎鸡扒","优质牛小排","香滑港式奶茶"
"1590849100-572","https://gz.meituan.com/meishi/pn29/","老广记云吞面（建设北路店）","老广记云吞面（建设北路店）4.3分684条评论花都区建设北路131号（城市快捷酒店旁）人均￥13","https://www.meituan.com/meishi/50030834/","4.3分","13","684","地址：花都区建设北路131号（城市快捷酒店旁）","18902397633","营业时间：周一至周日 09:00-21:00","停车位","广州小吃快餐","味道赞(50)服务热情(35)性价比高(25)回头客(22)价格实惠(21)干净整洁(21)分量足(20)上菜快(17)菜品精致(17)到店自提(3)","鲜虾云吞面","牛腩捞面","鲜肉净云吞"
"1590846226-264","https://gz.meituan.com/meishi/pn50/","鹅仔饭店（中山七路店）","鹅仔饭店（中山七路店）3.8分3862条评论荔湾区中山七路233号二层（速8酒店旁）人均￥49","https://www.meituan.com/meishi/5863562/","3.8分","49","3862","地址：荔湾区中山七路233号二层（速8酒店旁）","11","null","提供wifi停车位","广州粤港菜","上菜快(129)回头客(101)交通便利(55)海鲜棒(18)牛肉赞(18)不用排队(11)到店自提(15)朋友聚餐(6)请客(5)家庭聚餐(4)","金牌马冈烧鹅","豉油皇肥牛鹅肠","生炒芥兰肥牛"
"1590846735-317","https://gz.meituan.com/meishi/pn46/","汇食园","汇食园4.6分677条评论海珠区后滘西大街92号（沥滘牌坊对面直入200米）人均￥45","https://www.meituan.com/meishi/632712/","4.6分","45","677","地址：海珠区后滘西大街92号（沥滘牌坊对面直入200米）","020-84164075","营业时间：周一至周日 07:00-22:00","提供wifi停车位","广州粤港菜","味道赞(80)菜品精致(47)分量足(34)上菜快(30)回头客(14)肉类好(10)不用排队(5)点心好(5)到店自提(7)朋友聚餐(3)","烧鹅","特色水晶鸡","拍蒜香葱捞猪手"
